,Relationship,full_community_id_src,name_src,Ar_trg,AtomicNumber_trg,Categorisation_trg,Density_trg,Dimensions_trg,Form_trg,Free_of_trg,Material_trg,MeltingPoint_trg,Series_trg,Specifications_trg,Symbol_trg,Title_trg,full_community_id_trg,name_trg
10,IS_COMPOSED_OF,244,ALUMINUM,,,['Nonferrous Scrap - Aluminum'],,,['Aluminum Scrap '],"['Corrosion', ' dross or any non-aluminum inclusions']",['Aluminum'],,,"['Aluminum scrap which has been sweated or melted into a form or shape such as an ingot', ' sow or slab for convenience in shipping']",,['Sweated Aluminum'],['84'],['Throb']
11,IS_COMPOSED_OF,244,ALUMINUM,,,['Nonferrous Scrap - Aluminum'],,,['Foil'],"[' plastics', ' radar foil and chaff', 'Anodized foil', ' or any other non-metallic items', ' paper']",['Aluminum'],,,"[' uncoated 1000 and/or 3000 and/or 8000 series alloy aluminum foil', ' pure', ' new', 'Clean']",,['New Aluminum Foil'],['78'],['Terse']
12,IS_COMPOSED_OF,244,ALUMINUM,,,['Nonferrous Scrap - Aluminum'],,,['Wire and Cable '],"['Hair wire', ' ACSR', ' iron', ' insulation and other non-metallic items.', ' wire screen']",['Aluminum'],,,"['New', ' unalloyed', ' clean']",,['New Pure Aluminum Wire and Cable'],['64'],['Talon']
13,IS_COMPOSED_OF,244,ALUMINUM,,,['Nonferrous Scrap - Aluminum'],,,['Siding scrap '],"[' fiber', ' or fiberglass backing or other non-metallic items', ' corrosion', ' iron', 'Plastic coating', ' dirt', ' foam']",['Aluminum'],,,"['Clean', ' low copper', ' painted one or two sides']",,['Painted Siding'],['60'],['Tale']
14,IS_COMPOSED_OF,244,ALUMINUM,,,['Nonferrous Scrap - Aluminum'],,,['Wire'],['Other wires and cables unless mutually agreed upon'],['Aluminum'],,,"[' of various configurations', 'Aluminum Conductor Steel Reinforced (ACSR) wire is a combination of steel and aluminum wire', ' with the expected aluminum recovery agreed upon by the buyer and the seller.']",,['ACSR'],['90'],['Trill']
15,IS_COMPOSED_OF,244,ALUMINUM,,,['Nonferrous Scrap - Aluminum'],,,['E.C. '],"[' insulation and other non-metallic items. Must be free of minus 20 mesh material', ' iron', ' copper', ' hair-wire', 'Screening']",['Aluminum'],,,"[' Chopped or Shredder. Must contain 99.45% aluminum content.', 'Clean']",,['E.C. Aluminum Nodules'],['62'],['Tall']
16,IS_COMPOSED_OF,244,ALUMINUM,,,['Nonferrous Scrap - Aluminum'],,,['Wheels'],"[' steel', ' wheel weights', ' tires', ' valve stems', 'All inserts', ' grease and oil and other non-metallic items']",['Aluminum'],,,"[' single-piece', ' unplated aluminum wheels of a single specified alloy', 'Clean']",,['Aluminum Auto Truck Wheels'],['88'],['Troma']
17,IS_COMPOSED_OF,244,ALUMINUM,,,['Nonferrous Scrap - Aluminum'],,,['Aircraft Scrap'],['Excessively oxidized material'],['Aluminum'],,,"[' of which no more than 1% shall be rubber and plastics.', ' 1% maximum free magnesium', 'The material as received must be dry and not to contain more than 2% free zinc', ' and 1.5% maximum free iron and stainless with a maximum of 2% analytical iron. Not to contain more than a total 5% maximum of non-metallics']",,['Fragmentizer Aircraft Aluminum Scrap (2000 and 7000 series)'],['92'],['Twirl']
18,IS_COMPOSED_OF,244,ALUMINUM,,,['Nonferrous Scrap - Aluminum'],,,['Wire and Cable '],"['Hair wire', ' insulation and other non-metallic items', ' wire screen', ' iron']",['Aluminum'],,,"['New', ' unalloyed. May contain up to 10% 6000 series wire and cable', ' clean']",,['New Mixed Aluminum Wire and Cable'],['65'],['Tann']
19,IS_COMPOSED_OF,244,ALUMINUM,,,['Nonferrous Scrap - Aluminum'],,,['Wire and Cable '],"['Hair wire', ' insulation and other non-metallic items', ' wire screen', ' iron']",['Aluminum'],,,"[' unalloyed', ' containing not over 1% free oxide or dirt', 'Old']",,['Old Pure Aluminum Wire and Cable'],['70'],['Taste']
20,IS_COMPOSED_OF,244,ALUMINUM,,,['Nonferrous Scrap - Aluminum'],,,['Extrusions'],['Any foreign contamination'],['Aluminum'],,,['Consists of one alloy (typically 6063). Material may contain �butt ends� from the extrusion process. Anodized material is acceptable.'],,['New Production Aluminum Extrusions'],['71'],['Tata']
21,CONTAINS,244,ALUMINUM,,,,,,,,,,['2000'],,,,['298'],['2218']
22,CONTAINS,244,ALUMINUM,,,,,,,,,,['2000'],,,,['301'],['2397']
23,CONTAINS,244,ALUMINUM,,,,,,,,,,['6000'],,,,['367'],['6061']
24,CONTAINS,244,ALUMINUM,,,,,,,,,,['1000'],,,,['426'],['1230']
25,CONTAINS,244,ALUMINUM,,,,,,,,,,['2000'],,,,['271'],['2080']
26,CONTAINS,244,ALUMINUM,,,,,,,,,,['5000'],,,,['341'],['5019']
27,CONTAINS,244,ALUMINUM,,,,,,,,,,['8000'],,,,['410'],['8009']
28,CONTAINS,244,ALUMINUM,,,,,,,,,,['5000'],,,,['342'],['5024']
29,CONTAINS,244,ALUMINUM,,,,,,,,,,['1000'],,,,['423'],['1100']
30,CONTAINS,244,ALUMINUM,,,,,,,,,,['5000'],,,,['347'],['5056']
31,CONTAINS,244,ALUMINUM,,,,,,,,,,['2000'],,,,['297'],['2198']
32,CONTAINS,244,ALUMINUM,,,,,,,,,,['5000'],,,,['351'],['5154']
33,CONTAINS,244,ALUMINUM,,,,,,,,,,['7000'],,,,['401'],['7085']
34,CONTAINS,244,ALUMINUM,,,,,,,,,,['6000'],,,,['376'],['6101']
35,CONTAINS,244,ALUMINUM,,,,,,,,,,['8000'],,,,['413'],['8019']
36,CONTAINS,244,ALUMINUM,,,,,,,,,,['6000'],,,,['378'],['6113']
37,CONTAINS,244,ALUMINUM,,,,,,,,,,['6000'],,,,['362'],['6009']
38,CONTAINS,244,ALUMINUM,,,,,,,,,,['7000'],,,,['388'],['7010']
39,CONTAINS,244,ALUMINUM,,,,,,,,,,['7000'],,,,['405'],['7150']
40,CONTAINS,244,ALUMINUM,,,,,,,,,,['2000'],,,,['307'],['2618']
41,CONTAINS,244,ALUMINUM,,,,,,,,,,['8000'],,,,['419'],['8176']
42,CONTAINS,244,ALUMINUM,,,,,,,,,,['2000'],,,,['289'],['2095']
43,CONTAINS,244,ALUMINUM,,,,,,,,,,['2000'],,,,['261'],['2004']
44,CONTAINS,244,ALUMINUM,,,,,,,,,,['5000'],,,,['356'],['5454']
45,CONTAINS,244,ALUMINUM,,,,,,,,,,['8000'],,,,['412'],['8014']
46,CONTAINS,244,ALUMINUM,,,,,,,,,,['8000'],,,,['409'],['8006']
47,CONTAINS,244,ALUMINUM,,,,,,,,,,['7000'],,,,['393'],['7050']
48,CONTAINS,244,ALUMINUM,,,,,,,,,,['2000'],,,,['303'],['2324']
49,CONTAINS,244,ALUMINUM,,,,,,,,,,['2000'],,,,['287'],['2091']
50,CONTAINS,244,ALUMINUM,,,,,,,,,,['#VALUE!'],,,,['370'],['6063A']
51,CONTAINS,244,ALUMINUM,,,,,,,,,,['8000'],,,,['416'],['8090']
52,CONTAINS,244,ALUMINUM,,,,,,,,,,['3000'],,,,['312'],['3103']
53,CONTAINS,244,ALUMINUM,,,,,,,,,,['6000'],,,,['385'],['6463']
54,CONTAINS,244,ALUMINUM,,,,,,,,,,['6000'],,,,['366'],['6060']
55,CONTAINS,244,ALUMINUM,,,,,,,,,,['2000'],,,,['290'],['2097']
56,CONTAINS,244,ALUMINUM,,,,,,,,,,['8000'],,,,['415'],['8030']
57,CONTAINS,244,ALUMINUM,,,,,,,,,,['8000'],,,,['411'],['8011']
58,CONTAINS,244,ALUMINUM,,,,,,,,,,['7000'],,,,['398'],['7075']
59,CONTAINS,244,ALUMINUM,,,,,,,,,,['7000'],,,,['400'],['7079']
60,CONTAINS,244,ALUMINUM,,,,,,,,,,['7000'],,,,['390'],['7034']
61,CONTAINS,244,ALUMINUM,,,,,,,,,,['3000'],,,,['309'],['3004']
62,CONTAINS,244,ALUMINUM,,,,,,,,,,['2000'],,,,['305'],['2519']
63,CONTAINS,244,ALUMINUM,,,,,,,,,,['6000'],,,,['379'],['6151']
64,CONTAINS,244,ALUMINUM,,,,,,,,,,['4000'],,,,['336'],['4047']
65,CONTAINS,244,ALUMINUM,,,,,,,,,,['1000'],,,,['420'],['1050']
66,CONTAINS,244,ALUMINUM,,,,,,,,,,['1000'],,,,['424'],['1145']
67,CONTAINS,244,ALUMINUM,,,,,,,,,,['7000'],,,,['397'],['7072']
68,CONTAINS,244,ALUMINUM,,,,,,,,,,['6000'],,,,['373'],['6070']
69,CONTAINS,244,ALUMINUM,,,,,,,,,,['6000'],,,,['368'],['6063']
70,CONTAINS,244,ALUMINUM,,,,,,,,,,['3000'],,,,['308'],['3003']
71,CONTAINS,244,ALUMINUM,,,,,,,,,,['7000'],,,,['408'],['7475']
72,CONTAINS,244,ALUMINUM,,,,,,,,,,['1000'],,,,['422'],['1070']
73,CONTAINS,244,ALUMINUM,,,,,,,,,,['7000'],,,,['402'],['7093']
74,CONTAINS,244,ALUMINUM,,,,,,,,,,['6000'],,,,['374'],['6081']
75,CONTAINS,244,ALUMINUM,,,,,,,,,,['3000'],,,,['311'],['3102']
76,CONTAINS,244,ALUMINUM,,,,,,,,,,['7000'],,,,['395'],['7065']
77,CONTAINS,244,ALUMINUM,,,,,,,,,,['5000'],,,,['343'],['5026']
78,CONTAINS,244,ALUMINUM,,,,,,,,,,['5000'],,,,['359'],['5557']
79,CONTAINS,244,ALUMINUM,,,,,,,,,,['2000'],,,,['291'],['2098']
80,CONTAINS,244,ALUMINUM,,,,,,,,,,['6000'],,,,['364'],['6013']
81,CONTAINS,244,ALUMINUM,,,,,,,,,,['7000'],,,,['391'],['7039']
82,CONTAINS,244,ALUMINUM,,,,,,,,,,['2000'],,,,['268'],['2036']
83,CONTAINS,244,ALUMINUM,,,,,,,,,,['7000'],,,,['396'],['7068']
84,CONTAINS,244,ALUMINUM,,,,,,,,,,['6000'],,,,['372'],['6066']
85,CONTAINS,244,ALUMINUM,,,,,,,,,,['5000'],,,,['353'],['5182']
86,CONTAINS,244,ALUMINUM,,,,,,,,,,['6000'],,,,['363'],['6010']
87,CONTAINS,244,ALUMINUM,,,,,,,,,,['2000'],,,,['266'],['2024']
88,CONTAINS,244,ALUMINUM,,,,,,,,,,['2000'],,,,['304'],['2319']
89,CONTAINS,244,ALUMINUM,,,,,,,,,,['6000'],,,,['386'],['6951']
90,CONTAINS,244,ALUMINUM,,,,,,,,,,['4000'],,,,['334'],['4032']
91,CONTAINS,244,ALUMINUM,,,,,,,,,,['6000'],,,,['375'],['6082']
92,CONTAINS,244,ALUMINUM,,,,,,,,,,['2000'],,,,['267'],['2029']
93,CONTAINS,244,ALUMINUM,,,,,,,,,,['7000'],,,,['404'],['7129']
94,CONTAINS,244,ALUMINUM,,,,,,,,,,['4000'],,,,['335'],['4043']
95,CONTAINS,244,ALUMINUM,,,,,,,,,,['2000'],,,,['300'],['2297']
96,CONTAINS,244,ALUMINUM,,,,,,,,,,['5000'],,,,['349'],['5083']
97,CONTAINS,244,ALUMINUM,,,,,,,,,,['7000'],,,,['403'],['7116']
98,CONTAINS,244,ALUMINUM,,,,,,,,,,['5000'],,,,['340'],['5010']
99,CONTAINS,244,ALUMINUM,,,,,,,,,,['5000'],,,,['346'],['5652']
100,CONTAINS,244,ALUMINUM,,,,,,,,,,['2000'],,,,['262'],['2011']
101,CONTAINS,244,ALUMINUM,,,,,,,,,,['1000'],,,,['421'],['1060']
102,CONTAINS,244,ALUMINUM,,,,,,,,,,['5000'],,,,['360'],['5754']
103,CONTAINS,244,ALUMINUM,,,,,,,,,,['3000'],,,,['313'],['3303']
104,CONTAINS,244,ALUMINUM,,,,,,,,,,['2000'],,,,['302'],['2224']
105,CONTAINS,244,ALUMINUM,,,,,,,,,,['5000'],,,,['344'],['5050']
106,CONTAINS,244,ALUMINUM,,,,,,,,,,['6000'],,,,['377'],['6105']
107,CONTAINS,244,ALUMINUM,,,,,,,,,,['5000'],,,,['345'],['5052']
108,CONTAINS,244,ALUMINUM,,,,,,,,,,['5000'],,,,['350'],['5086']
109,CONTAINS,244,ALUMINUM,,,,,,,,,,['6000'],,,,['383'],['6262']
110,CONTAINS,244,ALUMINUM,,,,,,,,,,['6000'],,,,['365'],['6022']
111,CONTAINS,244,ALUMINUM,,,,,,,,,,['5000'],,,,['357'],['5456']
112,CONTAINS,244,ALUMINUM,,,,,,,,,,['7000'],,,,['406'],['7178']
113,CONTAINS,244,ALUMINUM,,,,,,,,,,['2000'],,,,['293'],['2124']
114,CONTAINS,244,ALUMINUM,,,,,,,,,,['1000'],,,,['427'],['1350']
115,CONTAINS,244,ALUMINUM,,,,,,,,,,['3000'],,,,['314'],['3105']
116,CONTAINS,244,ALUMINUM,,,,,,,,,,['7000'],,,,['392'],['7049']
117,CONTAINS,244,ALUMINUM,,,,,,,,,,['4000'],,,,['317'],['4007']
118,CONTAINS,244,ALUMINUM,,,,,,,,,,['6000'],,,,['384'],['6351']
119,CONTAINS,244,ALUMINUM,,,,,,,,,,['6000'],,,,['381'],['6201']
120,CONTAINS,244,ALUMINUM,,,,,,,,,,['4000'],,,,['316'],['4006']
121,CONTAINS,244,ALUMINUM,,,,,,,,,,['2000'],,,,['269'],['2048']
122,CONTAINS,244,ALUMINUM,,,,,,,,,,['2000'],,,,['296'],['2197']
123,CONTAINS,244,ALUMINUM,,,,,,,,,,['3000'],,,,['315'],['3203']
124,CONTAINS,244,ALUMINUM,,,,,,,,,,['6000'],,,,['361'],['6005']
125,CONTAINS,244,ALUMINUM,,,,,,,,,,['5000'],,,,['352'],['5254']
126,CONTAINS,244,ALUMINUM,,,,,,,,,,['2000'],,,,['295'],['2196']
127,CONTAINS,244,ALUMINUM,,,,,,,,,,['6000'],,,,['380'],['6162']
128,CONTAINS,244,ALUMINUM,,,,,,,,,,['5000'],,,,['348'],['5059']
129,CONTAINS,244,ALUMINUM,,,,,,,,,,['3000'],,,,['310'],['3005']
130,CONTAINS,244,ALUMINUM,,,,,,,,,,['8000'],,,,['414'],['8025']
131,CONTAINS,244,ALUMINUM,,,,,,,,,,['8000'],,,,['417'],['8091']
132,CONTAINS,244,ALUMINUM,,,,,,,,,,['2000'],,,,['292'],['2099']
133,CONTAINS,244,ALUMINUM,,,,,,,,,,['#VALUE!'],,,,['369'],['646g']
134,CONTAINS,244,ALUMINUM,,,,,,,,,,['5000'],,,,['354'],['5252']
135,CONTAINS,244,ALUMINUM,,,,,,,,,,['7000'],,,,['387'],['7005']
136,CONTAINS,244,ALUMINUM,,,,,,,,,,['1000'],,,,['425'],['1199']
137,CONTAINS,244,ALUMINUM,,,,,,,,,,['2000'],,,,['306'],['2524']
138,CONTAINS,244,ALUMINUM,,,,,,,,,,['7000'],,,,['389'],['7022']
139,CONTAINS,244,ALUMINUM,,,,,,,,,,['7000'],,,,['399'],['7175']
140,CONTAINS,244,ALUMINUM,,,,,,,,,,['2000'],,,,['294'],['2195']
141,CONTAINS,244,ALUMINUM,,,,,,,,,,['5000'],,,,['339'],['5657']
142,CONTAINS,244,ALUMINUM,,,,,,,,,,['5000'],,,,['338'],['5005']
143,CONTAINS,244,ALUMINUM,,,,,,,,,,['2000'],,,,['264'],['2017']
144,CONTAINS,244,ALUMINUM,,,,,,,,,,['6000'],,,,['371'],['6065']
145,CONTAINS,244,ALUMINUM,,,,,,,,,,['6000'],,,,['382'],['6205']
146,CONTAINS,244,ALUMINUM,,,,,,,,,,['2000'],,,,['265'],['2020']
147,CONTAINS,244,ALUMINUM,,,,,,,,,,['7000'],,,,['407'],['7255']
148,CONTAINS,244,ALUMINUM,,,,,,,,,,['1000'],,,,['428'],['1370']
149,CONTAINS,244,ALUMINUM,,,,,,,,,,['2000'],,,,['263'],['2014']
150,CONTAINS,244,ALUMINUM,,,,,,,,,,['7000'],,,,['394'],['7055']
151,CONTAINS,244,ALUMINUM,,,,,,,,,,['2000'],,,,['286'],['2090']
152,CONTAINS,244,ALUMINUM,,,,,,,,,,['4000'],,,,['337'],['4543']
153,CONTAINS,244,ALUMINUM,,,,,,,,,,['2000'],,,,['288'],['2094']
154,CONTAINS,244,ALUMINUM,,,,,,,,,,['5000'],,,,['355'],['5356']
155,CONTAINS,244,ALUMINUM,,,,,,,,,,['2000'],,,,['270'],['2055']
156,CONTAINS,244,ALUMINUM,,,,,,,,,,['8000'],,,,['418'],['8093']
157,CONTAINS,244,ALUMINUM,,,,,,,,,,['4000'],,,,['318'],['4015']
158,CONTAINS,244,ALUMINUM,,,,,,,,,,['5000'],,,,['358'],['5457']
159,CONTAINS,244,ALUMINUM,,,,,,,,,,['2000'],,,,['299'],['2219']
160,IS_COMPOSED_OF,245,MALLEABLE IRON,,,['Ferrous Scrap - Specially processed Grades to Meet Consumer Requirements - Cast Iron Grades'],,,"[' locomotives or mescellaneous melleable iron castings', 'Malleable parts of automobiles', ' railroad cars']",['Cast iron and steel parts and other foreign material'],,,,,,['Malleable'],['225'],['264']
161,IS_COMPOSED_OF,245,MALLEABLE IRON,,,['Ferrous Scrap - Specially processed Grades to Meet Consumer Requirements - Special Boring Grades'],,,['Borings and drillings '],"['Steel turnings', ' lumps', ' scale', ' corroded or rusty material', ' or chips']",['Cast or malleable iron '],,,['Containing not more than 1 percent oil'],,['No. 1 Chemical Borings'],['228'],['267']
162,IS_COMPOSED_OF,245,MALLEABLE IRON,,,['Ferrous Scrap - Specially processed Grades to Meet Consumer Requirements - Special Boring Grades'],,,['Borings and drillings '],"['Steel turnings', ' lumps', ' scale', ' corroded or rusty material', ' or chips']",['Cast or malleable iron '],,,"['Nea clean', ' containing not more than 1.5 percent oil']",,['No. 2 Chemical Borings'],['232'],['271']
163,IS_COMPOSED_OF,245,MALLEABLE IRON,,,['Ferrous Scrap - Specially processed Grades to Meet Consumer Requirements - Special Boring Grades'],,,['Borings and drillings '],"['Steel turnings', ' scale', ' lumps and excessive oil']",['Malleable iron '],,,['Clean '],,['Malleable Borings'],['231'],['270']
164,IS_COMPOSED_OF,245,MALLEABLE IRON,,,['Ferrous Scrap '],,,['Borings and drillings '],"['Steel turnings', ' scale', ' lumps or excessive oil.']",['Cast Iron or malleable iron '],,,['Clean'],,['Iron Borings'],['182'],['223']
165,IS_COMPOSED_OF,246,ALUMINUM BRASS,,,['Nonferrous Scrap - Red Metals'],,,['Condenser tubes'],['Nickel alloy and corroded material'],['Aluminum Brass'],,,['Clean. May be plated or unplated'],,['Aluminum Brass Condenser Tubes'],['47'],['Pallu']
166,IS_COMPOSED_OF,247,BRASS,,,['Nonferrous Scrap - Red Metals'],,,['Pipe '],['Plated and soldered materials or pipes with cast brass connections'],['Brass'],,,"[' clean pipes free of sediment and condenser tubes', 'To be sound']",,['Brass Pipe'],['37'],['Melon']
167,IS_COMPOSED_OF,247,BRASS,,,['Nonferrous Scrap - Red Metals'],,,['Rifle shells'],"[' iron and any other foreign material', 'bullets']",['Brass'],,,"[' all shells must be sufficiently mutilated to prevent reuse and reloading.', 'Clean muffled. For material to be exported from the United States']",,"[' Clean Muffled (Popped)', 'Brass Small Arms and Rifle Shells']",['31'],['Lamb']
168,IS_COMPOSED_OF,247,BRASS,,,['Nonferrous Scrap - Red Metals'],,,['Rifle shells'],"[' iron and any other foreign material', 'bullets']",['Brass'],,,"['Clean. For material to be exported from the United States', ' all shells must be sufficiently mutilated to prevent reuse and reloading']",,"[' Clean Fired', 'Brass Small Arms and Rifle Shells']",['30'],['Lake']
169,IS_COMPOSED_OF,247,BRASS,,,['Nonferrous Scrap - Red Metals'],,,['Fired 70/30 shell cases'],['primers and any other foreign material'],['Brass'],,,"['Clean. For material to be exported from the United States', ' all shells must be sufficiently mutilated to prevent reuse and reloading']",,['Brass Shell Cases Without Primers'],['28'],['Lace']
170,IS_COMPOSED_OF,247,BRASS,,,['Nonferrous Scrap - Red Metals'],,,['Borings'],,['Brass'],,,"[' and a lead content of not less than 6% nor more than 11%', ' and the total impurities', ' antimony', 'Copper content of not less than 75%', ' and nickel of not more than 0.75%; the antimony content not to exceed 0.50%.', ' exclusive of zinc', ' a tin content of not less than 6%']",,['Machinery or Hard Brass Borings'],['21'],['Erin']
171,IS_COMPOSED_OF,247,BRASS,,,['Nonferrous Scrap - Red Metals'],,,['Solids'],['lined and unlined standard red car boxes.'],['Brass'],,,"[' and a lead content of not less than 6% nor more than 11%', ' antimony', 'Copper content of not less than 75%', ' and nickel of not more than 0.75%; the antimony content not to exceed 0.50%.', ' exclusive of zinc', ' and total impurities', ' a tin content of not less than 6%']",,['Machinery or Hard Brass Solids'],['20'],['Engel']
172,IS_COMPOSED_OF,248,BRONZE,,,['Nonferrous Scrap - Red Metals'],,,['Solids and Borings'],,['Bronze'],,,['It is recommended that these materials be sold on sample or analysis.'],,['High Lead Bronze Solids and Borings'],['18'],['Elias']
173,IS_COMPOSED_OF,249,COPPER,,,['Nonferrous Scrap - Red Metals'],,['Wire gauge subject to agreement between buyer and seller'],['Wire '],,['Copper '],,,"['Bare', ' Unalloyed', ' Uncoated']",,['No. 1 Copper Wire'],['0'],['Berry']
174,IS_COMPOSED_OF,249,COPPER,,,['Nonferrous Scrap - Red Metals'],,['not smaller than No. 16 B & S wire gauge (unless smaller wire gauge is mutually agreed upon)'],['Wire'],,['Copper'],,,"[' unalloyed with various types of insulation', 'Uncoated']",,['Insulated Copper Wire Scrap'],['12'],['Druid']
175,IS_COMPOSED_OF,249,COPPER,,,['Nonferrous Scrap - Red Metals'],,,['Wire '],,['Copper '],,,"['with various types of insulation. To be sold on a sample or recovery basis', ' subject to agreement between buyer and seller. Existence of jelly wire subject to agreement between buyer and seller.']",,['Insulated Copper Wire Scrap'],['10'],['Droid']
176,IS_COMPOSED_OF,249,COPPER,,,['Nonferrous Scrap - Red Metals'],,,['Wire scrap nodules'],,['Copper '],,,"['Unalloyed', ' Chopped or shredded. Maximum metal impurities not to exceed 0.50% aluminum and 1% each of other metals or insulation.']",,['No. 2 Copper Wire Nodules'],['6'],['Cobra']
177,IS_COMPOSED_OF,249,COPPER,,,['Nonferrous Scrap - Red Metals'],,['Gauge smaller than No. 16 B & S wire subject to agreement between buyer and seller'],['Wire scrap nodules'],"[' Other metallic impurities', ' other foreign contamination', ' Iron', ' Lead', ' Zinc', 'Tin', ' Aluminum', ' Insulation']",['[Copper '],,,"[' Chopped or Shredded', ' Unalloyed', 'Uncoated']",,['No. 1 Copper Wire Nodules'],['5'],['Clove']
178,IS_COMPOSED_OF,249,COPPER,,,['Nonferrous Scrap - Red Metals'],,,['Miscellaneous Scrap'],"[' brasses and bronzes; excessive oil content', ' non-metallics', ' brittle burnt wire', ' iron', 'excessively leaded', ' insulation', ' reasonable free of ash', ' tinned', ' soldered copper scrap', ' copper tubing with other than copper connections or with sediment', ' copper wire from burning', ' hair wire']",['Copper '],,,['Unalloyed'],,['No. 2 Copper Solids and Tubing'],['4'],['Cliff']
